as_of_date,release_revision,revision_fingerprint,source_list,source_reported_registry_status,coverage_class,record_count
"2026-07-15",1,"e7d025f771be28d1508cb68ee796c301ffd326037840c95a2c13156ca5fb4096","charities-may-not-operate","Delinquent","keyed",5419
"2026-07-15",1,"e7d025f771be28d1508cb68ee796c301ffd326037840c95a2c13156ca5fb4096","charities-may-not-operate","Delinquent - Late Fees Due","keyed",57
"2026-07-15",1,"e7d025f771be28d1508cb68ee796c301ffd326037840c95a2c13156ca5fb4096","charities-may-not-operate","Mutual Benefit","keyed",124
"2026-07-15",1,"e7d025f771be28d1508cb68ee796c301ffd326037840c95a2c13156ca5fb4096","charities-may-not-operate","Mutual Benefit","unkeyed",65777
"2026-07-15",1,"e7d025f771be28d1508cb68ee796c301ffd326037840c95a2c13156ca5fb4096","charities-may-not-operate","Not Registered - Cease and Desist Order","keyed",4
"2026-07-15",1,"e7d025f771be28d1508cb68ee796c301ffd326037840c95a2c13156ca5fb4096","charities-may-not-operate","Not Registered - Cease and Desist Order","unkeyed",827
"2026-07-15",1,"e7d025f771be28d1508cb68ee796c301ffd326037840c95a2c13156ca5fb4096","charities-may-not-operate","Revoked","keyed",32632
"2026-07-15",1,"e7d025f771be28d1508cb68ee796c301ffd326037840c95a2c13156ca5fb4096","charities-may-not-operate","Revoked","unkeyed",12
"2026-07-15",1,"e7d025f771be28d1508cb68ee796c301ffd326037840c95a2c13156ca5fb4096","charities-may-not-operate","Subject to Cease and Desist Order","keyed",30
"2026-07-15",1,"e7d025f771be28d1508cb68ee796c301ffd326037840c95a2c13156ca5fb4096","charities-may-not-operate","Subject to Cease and Desist Order","unkeyed",3
"2026-07-15",1,"e7d025f771be28d1508cb68ee796c301ffd326037840c95a2c13156ca5fb4096","charities-may-not-operate","Suspended","keyed",3539
"2026-07-15",1,"e7d025f771be28d1508cb68ee796c301ffd326037840c95a2c13156ca5fb4096","charities-may-operate","Current","keyed",57959
"2026-07-15",1,"e7d025f771be28d1508cb68ee796c301ffd326037840c95a2c13156ca5fb4096","charities-may-operate","Current","unkeyed",3
"2026-07-15",1,"e7d025f771be28d1508cb68ee796c301ffd326037840c95a2c13156ca5fb4096","charities-may-operate","Current - Awaiting Reporting","keyed",1550
"2026-07-15",1,"e7d025f771be28d1508cb68ee796c301ffd326037840c95a2c13156ca5fb4096","charities-may-operate","Current - In Process","keyed",27164
"2026-07-15",1,"e7d025f771be28d1508cb68ee796c301ffd326037840c95a2c13156ca5fb4096","charities-may-operate","Current - Probationary Registration","keyed",1153
"2026-07-15",1,"e7d025f771be28d1508cb68ee796c301ffd326037840c95a2c13156ca5fb4096","charities-may-operate","Current - Reporting Incomplete","keyed",14524
