as_of_date,release_revision,revision_fingerprint,source_reported_status_age_state,source_reported_status_age_days,record_count
"2026-07-15",1,"e7d025f771be28d1508cb68ee796c301ffd326037840c95a2c13156ca5fb4096","missing",,6226
"2026-07-15",1,"e7d025f771be28d1508cb68ee796c301ffd326037840c95a2c13156ca5fb4096","valid_reported_date",0,8
"2026-07-15",1,"e7d025f771be28d1508cb68ee796c301ffd326037840c95a2c13156ca5fb4096","valid_reported_date",1,973
"2026-07-15",1,"e7d025f771be28d1508cb68ee796c301ffd326037840c95a2c13156ca5fb4096","valid_reported_date",2,644
"2026-07-15",1,"e7d025f771be28d1508cb68ee796c301ffd326037840c95a2c13156ca5fb4096","valid_reported_date",4,45
"2026-07-15",1,"e7d025f771be28d1508cb68ee796c301ffd326037840c95a2c13156ca5fb4096","valid_reported_date",5,555
"2026-07-15",1,"e7d025f771be28d1508cb68ee796c301ffd326037840c95a2c13156ca5fb4096","valid_reported_date",6,915
"2026-07-15",1,"e7d025f771be28d1508cb68ee796c301ffd326037840c95a2c13156ca5fb4096","valid_reported_date",7,902
"2026-07-15",1,"e7d025f771be28d1508cb68ee796c301ffd326037840c95a2c13156ca5fb4096","valid_reported_date",8,845
"2026-07-15",1,"e7d025f771be28d1508cb68ee796c301ffd326037840c95a2c13156ca5fb4096","valid_reported_date",9,685
"2026-07-15",1,"e7d025f771be28d1508cb68ee796c301ffd326037840c95a2c13156ca5fb4096","valid_reported_date",12,246
"2026-07-15",1,"e7d025f771be28d1508cb68ee796c301ffd326037840c95a2c13156ca5fb4096","valid_reported_date",13,579
"2026-07-15",1,"e7d025f771be28d1508cb68ee796c301ffd326037840c95a2c13156ca5fb4096","valid_reported_date",14,671
"2026-07-15",1,"e7d025f771be28d1508cb68ee796c301ffd326037840c95a2c13156ca5fb4096","valid_reported_date",15,767
"2026-07-15",1,"e7d025f771be28d1508cb68ee796c301ffd326037840c95a2c13156ca5fb4096","valid_reported_date",16,801
"2026-07-15",1,"e7d025f771be28d1508cb68ee796c301ffd326037840c95a2c13156ca5fb4096","valid_reported_date",18,142
"2026-07-15",1,"e7d025f771be28d1508cb68ee796c301ffd326037840c95a2c13156ca5fb4096","valid_reported_date",19,375
"2026-07-15",1,"e7d025f771be28d1508cb68ee796c301ffd326037840c95a2c13156ca5fb4096","valid_reported_date",20,947
"2026-07-15",1,"e7d025f771be28d1508cb68ee796c301ffd326037840c95a2c13156ca5fb4096","valid_reported_date",21,849
"2026-07-15",1,"e7d025f771be28d1508cb68ee796c301ffd326037840c95a2c13156ca5fb4096","valid_reported_date",22,733
"2026-07-15",1,"e7d025f771be28d1508cb68ee796c301ffd326037840c95a2c13156ca5fb4096","valid_reported_date",23,718
"2026-07-15",1,"e7d025f771be28d1508cb68ee796c301ffd326037840c95a2c13156ca5fb4096","valid_reported_date",25,234
"2026-07-15",1,"e7d025f771be28d1508cb68ee796c301ffd326037840c95a2c13156ca5fb4096","valid_reported_date",26,595
"2026-07-15",1,"e7d025f771be28d1508cb68ee796c301ffd326037840c95a2c13156ca5fb4096","valid_reported_date",27,658
"2026-07-15",1,"e7d025f771be28d1508cb68ee796c301ffd326037840c95a2c13156ca5fb4096","valid_reported_date",28,795
"2026-07-15",1,"e7d025f771be28d1508cb68ee796c301ffd326037840c95a2c13156ca5fb4096","valid_reported_date",29,811
"2026-07-15",1,"e7d025f771be28d1508cb68ee796c301ffd326037840c95a2c13156ca5fb4096","valid_reported_date",30,593
"2026-07-15",1,"e7d025f771be28d1508cb68ee796c301ffd326037840c95a2c13156ca5fb4096","valid_reported_date",32,27
"2026-07-15",1,"e7d025f771be28d1508cb68ee796c301ffd326037840c95a2c13156ca5fb4096","valid_reported_date",33,566
"2026-07-15",1,"e7d025f771be28d1508cb68ee796c301ffd326037840c95a2c13156ca5fb4096","valid_reported_date",34,628
"2026-07-15",1,"e7d025f771be28d1508cb68ee796c301ffd326037840c95a2c13156ca5fb4096","valid_reported_date",35,579
"2026-07-15",1,"e7d025f771be28d1508cb68ee796c301ffd326037840c95a2c13156ca5fb4096","valid_reported_date",36,797
